,ip4_prefix,ip_address,owner,latitude,longitude
145,149.112.112.0,149.112.112.112,Quad9,54.6341018677,25.2858009338
146,149.112.112.0,149.112.112.112,Quad9,37.62189865,-97.26820374
147,149.112.112.0,149.112.112.112,Quad9,-1.319239974,36.9277992249
148,149.112.112.0,149.112.112.112,Quad9,49.9099998474,-97.2398986816
149,149.112.112.0,149.112.112.112,Quad9,-8.8583698273,13.2312002182
150,149.112.112.0,149.112.112.112,Quad9,47.4812134,19.1303031
151,149.112.112.0,149.112.112.112,Quad9,40.7883987427,-111.9779968262
152,149.112.112.0,149.112.112.112,Quad9,12.3531999588,-1.5124200583
153,149.112.112.0,149.112.112.112,Quad9,45.445098877,9.2767400742
154,149.112.112.0,149.112.112.112,Quad9,33.8208999634,35.4883995056
155,149.112.112.0,149.112.112.112,Quad9,-29.7705993652,31.0583992004
156,149.112.112.0,149.112.112.112,Quad9,60.193901062,11.100399971
157,149.112.112.0,149.112.112.112,Quad9,3.54322,-76.3816
158,149.112.112.0,149.112.112.112,Quad9,-31.9402999878,115.9670028687
159,149.112.112.0,149.112.112.112,Quad9,41.7859992981,-87.7524032593
160,149.112.112.0,149.112.112.112,Quad9,39.717300415,-86.2944030762
161,149.112.112.0,149.112.112.112,Quad9,-22.6505,14.5285
162,149.112.112.0,149.112.112.112,Quad9,-34.5592,-58.4156
163,149.112.112.0,149.112.112.112,Quad9,40.63980103,-73.77890015
164,149.112.112.0,149.112.112.112,Quad9,35.5522994995,139.7799987793
165,149.112.112.0,149.112.112.112,Quad9,-33.9244003296,150.9880065918
166,149.112.112.0,149.112.112.112,Quad9,19.0886993408,72.8678970337
167,149.112.112.0,149.112.112.112,Quad9,14.508600235,121.019996643
168,149.112.112.0,149.112.112.112,Quad9,22.308889,113.914722
169,9.9.9.0,9.9.9.9,Quad9,25.0695,121.5785
170,9.9.9.0,9.9.9.9,Quad9,25.7931995392,-80.2906036377
171,9.9.9.0,9.9.9.9,Quad9,47.5299987793,-122.3020019531
172,9.9.9.0,9.9.9.9,Quad9,40.1473007202,44.3959007263
173,9.9.9.0,9.9.9.9,Quad9,-6.8780555556,39.2033333333
174,9.9.9.0,9.9.9.9,Quad9,41.2971000671,2.0784599781
175,9.9.9.0,9.9.9.9,Quad9,37.0775,-113.6095
176,9.9.9.0,9.9.9.9,Quad9,51.5052986145,0.0552779995
177,9.9.9.0,9.9.9.9,Quad9,44.8819999695,-93.2218017578
178,9.9.9.0,9.9.9.9,Quad9,-25.2399997711,-57.5200004578
179,9.9.9.0,9.9.9.9,Quad9,-4.3857498169,15.4446001053
180,9.9.9.0,9.9.9.9,Quad9,49.0127983093,2.5499999523
181,9.9.9.0,9.9.9.9,Quad9,-33.3930015564,-70.7857971191
182,9.9.9.0,9.9.9.9,Quad9,12.3531999588,-1.5124200583
183,9.9.9.0,9.9.9.9,Quad9,15.5895004272,32.5531997681
